"friend_owner_name","friend_owner_url","from","url"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100007861728381"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100056858257682"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100049133150122"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100080001392545"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/hieu.be.9400"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100010272345503"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100035329953013"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100004195936823"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/mydung.truongngoc.587"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/tnheyy1205"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100072492956367"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100058431935920"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100019788750335"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100017195325617"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100004382328640"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/hoang.anhrot.7"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/khanhnhat.le.733"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100040883980813"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100016771920975"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/anhro9996"
