"_id","type","url"
"65f9516f6d320c2ab7b0838d","friend","https://www.facebook.com/chau.nguyen17998"
"65f9516f6d320c2ab7b0838e","friend","https://www.facebook.com/xuanvu.nguyenvan"
"65f9516f6d320c2ab7b0838f","friend","https://www.facebook.com/paul.ngo.359"
"65f9516f6d320c2ab7b08390","friend","https://www.facebook.com/thuytrang.quynh.1"
"65f9516f6d320c2ab7b08391","friend","https://www.facebook.com/phuoc.nguyenthai.73"
"65f9516f6d320c2ab7b08392","friend","https://www.facebook.com/profile.php?id=100005569815365"
"65f9516f6d320c2ab7b08393","friend","https://www.facebook.com/nhattien1998"
"65f9516f6d320c2ab7b08394","friend","https://www.facebook.com/profile.php?id=100088533857455"
"65f9516f6d320c2ab7b08395","friend","https://www.facebook.com/nguyen.vanson.923"
"65f9516f6d320c2ab7b08396","friend","https://www.facebook.com/anhtrung.tran.378199"
"65f9516f6d320c2ab7b08397","friend","https://www.facebook.com/DaoXuanLoc267"
"65f9516f6d320c2ab7b08398","friend","https://www.facebook.com/nguyenthitramy111199"
"65f9516f6d320c2ab7b08399","friend","https://www.facebook.com/ngocthuy.chau.7528"
"65f9516f6d320c2ab7b0839a","friend","https://www.facebook.com/hoang.nhan.9085790"
"65f9516f6d320c2ab7b0839b","friend","https://www.facebook.com/profile.php?id=100054976697438"
"65f9516f6d320c2ab7b0839c","friend","https://www.facebook.com/theanh.phung.714"
"65f9516f6d320c2ab7b0839d","friend","https://www.facebook.com/profile.php?id=100038659513894"
"65f9516f6d320c2ab7b0839e","friend","https://www.facebook.com/bynnbib"
"65f9516f6d320c2ab7b0839f","friend","https://www.facebook.com/moceph"
"65f9516f6d320c2ab7b083a0","friend","https://www.facebook.com/hoa.huynh.188478"
"65f9516f6d320c2ab7b083a1","friend","https://www.facebook.com/huan.phan.524934"
"65f9516f6d320c2ab7b083a2","friend","https://www.facebook.com/lekimbang3196"
"65f9516f6d320c2ab7b083a3","friend","https://www.facebook.com/profile.php?id=100057240004529"
"65f9516f6d320c2ab7b083a4","friend","https://www.facebook.com/ngochoa.chau.10"
"65f9516f6d320c2ab7b083a5","friend","https://www.facebook.com/ha.nguyenthithuy.3954"
"65f9516f6d320c2ab7b083a6","friend","https://www.facebook.com/ToanThayDuong"
"65f9516f6d320c2ab7b083a7","friend","https://www.facebook.com/profile.php?id=100086666434667"
"65f9516f6d320c2ab7b083a8","friend","https://www.facebook.com/profile.php?id=100008396076332"
"65f9516f6d320c2ab7b083a9","friend","https://www.facebook.com/profile.php?id=100026875327794"
"65f9516f6d320c2ab7b083aa","friend","https://www.facebook.com/sinhtu.tudo"
"65f9516f6d320c2ab7b083ab","friend","https://www.facebook.com/profile.php?id=100043013289523"
"65f9516f6d320c2ab7b083ac","friend","https://www.facebook.com/profile.php?id=100021925823100"
"65f9516f6d320c2ab7b083ad","friend","https://www.facebook.com/thienlong.lekhac"
"65f9516f6d320c2ab7b083ae","friend","https://www.facebook.com/tri.ton.104418"
"65f9516f6d320c2ab7b083af","friend","https://www.facebook.com/nguyen.thuy.5836"
"65f9516f6d320c2ab7b083b0","friend","https://www.facebook.com/anh.l.t.1993"
"65f9516f6d320c2ab7b083b1","friend","https://www.facebook.com/tho.levan.1257"
"65f9516f6d320c2ab7b083b2","friend","https://www.facebook.com/chuan.lee.9615"
"65f9516f6d320c2ab7b083b3","friend","https://www.facebook.com/profile.php?id=100049372175496"
"65f9516f6d320c2ab7b083b4","friend","https://www.facebook.com/profile.php?id=100025094626738"
"65f9516f6d320c2ab7b083b5","friend","https://www.facebook.com/andy.phong"
"65f9516f6d320c2ab7b083b6","friend","https://www.facebook.com/profile.php?id=100011054529118"
"65f9516f6d320c2ab7b083b7","friend","https://www.facebook.com/chuong.levietnguyen"
"65f9516f6d320c2ab7b083b8","friend","https://www.facebook.com/phuong.nguyenhuu.5855"
"65f9516f6d320c2ab7b083b9","friend","https://www.facebook.com/haithuvinh.nhunhi"
"65f9516f6d320c2ab7b083ba","friend","https://www.facebook.com/profile.php?id=100008225148670"
"65f9516f6d320c2ab7b083bb","friend","https://www.facebook.com/rin.le.1481"
"65f9516f6d320c2ab7b083bc","friend","https://www.facebook.com/us.chon.5"
"65f9516f6d320c2ab7b083bd","friend","https://www.facebook.com/truongnguyen1006"
"65f9516f6d320c2ab7b083be","friend","https://www.facebook.com/teo.be.311"
"65f9516f6d320c2ab7b083bf","friend","https://www.facebook.com/long.mountain.7"
"65f9516f6d320c2ab7b083c0","friend","https://www.facebook.com/profile.php?id=100054976697438"
"65f9516f6d320c2ab7b083c1","friend","https://www.facebook.com/profile.php?id=100037374005579"
"65f9516f6d320c2ab7b083c2","friend","https://www.facebook.com/nhatnam.le.33865"
"65f9516f6d320c2ab7b083c3","friend","https://www.facebook.com/profile.php?id=100010925777732"
"65f9516f6d320c2ab7b083c4","friend","https://www.facebook.com/profile.php?id=100063461842771"
"65f9516f6d320c2ab7b083c5","friend","https://www.facebook.com/haigret"
"65f9516f6d320c2ab7b083c6","friend","https://www.facebook.com/xuantri.ngo"
"65f9516f6d320c2ab7b083c7","friend","https://www.facebook.com/emmanuel.anton.10"
"65f9516f6d320c2ab7b083c8","friend","https://www.facebook.com/johny.nguyen.908"
"65f9516f6d320c2ab7b083c9","friend","https://www.facebook.com/ly.huynh.9480"
"65f9516f6d320c2ab7b083ca","friend","https://www.facebook.com/profile.php?id=100012173524070"
"65f9516f6d320c2ab7b083cb","friend","https://www.facebook.com/profile.php?id=100047825020307"
"65f9516f6d320c2ab7b083cc","friend","https://www.facebook.com/profile.php?id=100070116288229"
"65f9516f6d320c2ab7b083cd","friend","https://www.facebook.com/brianle8834"
"65f9516f6d320c2ab7b083ce","friend","https://www.facebook.com/profile.php?id=100051862722400"
"65f9516f6d320c2ab7b083cf","friend","https://www.facebook.com/phamtrunghieu268"
"65f9516f6d320c2ab7b083d0","friend","https://www.facebook.com/eternal.lct"
"65f9516f6d320c2ab7b083d1","friend","https://www.facebook.com/loading.hiTainguyen"
"65f9516f6d320c2ab7b083d2","friend","https://www.facebook.com/profile.php?id=100093207946402"
"65f9516f6d320c2ab7b083d3","friend","https://www.facebook.com/profile.php?id=100092171245610"
"65f9516f6d320c2ab7b083d4","friend","https://www.facebook.com/profile.php?id=100091630954165"
"65f9516f6d320c2ab7b083d5","friend","https://www.facebook.com/profile.php?id=100091580498046"
"65f9516f6d320c2ab7b083d6","friend","https://www.facebook.com/profile.php?id=100088504195998"
"65f9516f6d320c2ab7b083d7","friend","https://www.facebook.com/profile.php?id=100085493353231"
"65f9516f6d320c2ab7b083d8","friend","https://www.facebook.com/profile.php?id=100084150187458"
"65f9516f6d320c2ab7b083d9","friend","https://www.facebook.com/profile.php?id=100083933610125"
